taxonomy,layer,accuracy,macro_f1,mcc,imbalance_entropy,Anger_f1,Disgust_f1,Enjoyment_f1,Fear_f1,Neutral_f1,Sadness_f1,Surprise_f1,control_macro_f1,control_mcc,normalized_mcc,normalized_macro_f1,Admiration_f1,Amusement_f1,Annoyance_f1,Approval_f1,Caring_f1,Confusion_f1,Curiosity_f1,Desire_f1,Disappointment_f1,Disapproval_f1,Embarrassment_f1,Excitement_f1,Gratitude_f1,Grief_f1,Joy_f1,Love_f1,Nervousness_f1,Optimism_f1,Pride_f1,Realization_f1,Relief_f1,Remorse_f1,Anticipation_f1,Trust_f1
ekman_basic_emotions,11,0.564622641509434,0.37502357479426063,0.4252163638284297,0.7087548312245161,0.17798594847775176,0.0847457627118644,0.731859410430839,0.44894204231830726,0.5309427414690573,0.5192012288786483,0.1314878892733564,0.10644506883449142,-0.001811087770706485,0.42625546553830296,0.300573021973533,,,,,,,,,,,,,,,,,,,,,,,,
ekman_basic_emotions,12,0.5804245283018868,0.38729386292166695,0.44316156751661806,0.7087548312245161,0.19854721549636803,0.08620689655172414,0.7431786216596343,0.45161290322580644,0.5573212258796821,0.5287356321839081,0.14545454545454545,0.11240036008827572,0.002768857042905791,0.4416154806074484,0.30970438751048907,,,,,,,,,,,,,,,,,,,,,,,,
ekman_basic_emotions,13,0.5952830188679246,0.3915986612780943,0.458347835269996,0.7087548312245161,0.18227848101265823,0.09009009009009009,0.7612437534702943,0.45688073394495415,0.5754663651780667,0.5346062052505967,0.140625,0.11745329067063026,0.004332683826702608,0.4559908154746252,0.310629871155241,,,,,,,,,,,,,,,,,,,,,,,,
ekman_basic_emotions,14,0.5985849056603774,0.39511445670949197,0.4611267131191937,0.7087548312245161,0.20537897310513448,0.06896551724137931,0.7631433314886552,0.4452621895124195,0.5748299319727891,0.536547433903577,0.17167381974248927,0.11765427285398425,0.006163930946096793,0.45778453443152384,0.3144574460092467,,,,,,,,,,,,,,,,,,,,,,,,
ekman_basic_emotions,15,0.6028301886792453,0.4021824053795782,0.4670262002682238,0.7087548312245161,0.19289340101522842,0.11764705882352941,0.769188140759213,0.46557971014492755,0.5699658703071673,0.5362095531587057,0.16379310344827586,0.11702255203035708,0.0054480393562988064,0.4641066321091751,0.32295258956492057,,,,,,,,,,,,,,,,,,,,,,,,
ekman_basic_emotions,16,0.6188679245283019,0.4135572119828636,0.48558084838313276,0.7087548312245161,0.21428571428571427,0.11235955056179775,0.7778082944246086,0.48451730418943534,0.5851726089417091,0.559322033898305,0.16143497757847533,0.11879493785977598,0.0029336819426252314,0.4840672658373104,0.3344990704061376,,,,,,,,,,,,,,,,,,,,,,,,
ekman_basic_emotions,17,0.6285377358490566,0.42089321523291545,0.4959656891735433,0.7087548312245161,0.2155688622754491,0.12195121951219512,0.7844851133570063,0.4902654867256637,0.5912653975363942,0.5721003134796239,0.17061611374407584,0.11786267877329859,-0.005320863591619902,0.49863339250143635,0.343518553367884,,,,,,,,,,,,,,,,,,,,,,,,
ekman_basic_emotions,18,0.6290094339622642,0.4232937352650588,0.49653933042354836,0.7087548312245161,0.21492537313432836,0.12048192771084337,0.7840349917987972,0.49110320284697506,0.5997782705099778,0.5594956658786446,0.1932367149758454,0.12104836532162722,0.0026742822664852788,0.4951893241852846,0.3438703086934125,,,,,,,,,,,,,,,,,,,,,,,,
ekman_basic_emotions,19,0.6316037735849057,0.4281085823439835,0.5009962342281685,0.7087548312245161,0.20348837209302326,0.15384615384615385,0.7837763770896136,0.48936170212765956,0.6068042387060792,0.573208722741433,0.18627450980392157,0.12005901264150597,0.00330630242793959,0.4993409038429745,0.35007980549606565,,,,,,,,,,,,,,,,,,,,,,,,
ekman_basic_emotions,20,0.6341981132075472,0.42440753567808187,0.5013775625176013,0.7087548312245161,0.23492063492063492,0.11267605633802817,0.7879282218597063,0.5056867891513561,0.5909849749582637,0.5660672400312744,0.17258883248730963,0.11323842671147304,-0.011621292462623443,0.5071056321199158,0.35090504408377565,,,,,,,,,,,,,,,,,,,,,,,,
ekman_basic_emotions,21,0.6360849056603773,0.4266068267019855,0.5035779917595533,0.7087548312245161,0.22981366459627328,0.09090909090909091,0.789015769439913,0.5097690941385435,0.5903279599777654,0.562929061784897,0.21348314606741572,0.1236288022026316,-3.9073108891788866e-05,0.5035973877528759,0.3457188292596164,,,,,,,,,,,,,,,,,,,,,,,,
